time,open,high,low,close,volume
1776365760,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776365820,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776365880,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776365940,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776366000,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776366060,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366120,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366180,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366240,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776366300,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776366360,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366420,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776366480,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776366540,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776366600,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776366660,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776366720,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366780,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366840,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366900,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776366960,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367020,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367080,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367140,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776367200,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367260,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367320,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776367380,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776367440,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367500,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367560,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367620,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776367680,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776367740,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776367800,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776367860,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776367920,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776367980,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368040,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368100,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368160,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368220,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368280,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368340,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368400,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368460,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368520,1.178828239440918,1.178828239440918,1.178828239440918,1.178828239440918,0
1776368580,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776368640,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776368700,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776368760,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776368820,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776368880,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776368940,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369000,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776369060,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369120,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369180,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369240,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776369300,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369360,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776369420,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776369480,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369540,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369600,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369660,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369720,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369780,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776369840,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776369900,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776369960,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370020,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370080,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370140,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370200,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370260,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370320,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370380,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370440,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776370500,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776370560,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776370620,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370680,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370740,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370800,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370860,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370920,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776370980,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776371040,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776371100,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776371160,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776371220,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776371280,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776371340,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
1776371400,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776371460,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776371520,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776371580,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776371640,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776371700,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776371760,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776371820,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776371880,1.1784114837646484,1.1784114837646484,1.1784114837646484,1.1784114837646484,0
1776371940,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372000,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372060,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372120,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372180,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372240,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372300,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372360,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372420,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776372480,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372540,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776372600,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372660,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372720,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372780,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776372840,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372900,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776372960,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776373020,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776373080,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776373140,1.178550362586975,1.178550362586975,1.178550362586975,1.178550362586975,0
1776373200,1.1786893606185913,1.1786893606185913,1.1786893606185913,1.1786893606185913,0
1776373260,1.1777175664901733,1.1777175664901733,1.1777175664901733,1.1777175664901733,0
1776373320,1.1778563261032104,1.1778563261032104,1.1778563261032104,1.1778563261032104,0
1776373380,1.1778563261032104,1.1778563261032104,1.1778563261032104,1.1778563261032104,0
1776373440,1.1782727241516113,1.1782727241516113,1.1782727241516113,1.1782727241516113,0
